date,z_sf_L1,z_sf_L2,z_sf_L3,z_fs_L1,z_fs_L2,z_fs_L3,z_sf,z_fs,p_high_fs,p_high_sf
2021-01-21,23.12576951286109,18.560708479863273,16.169333405278774,23.093390099979104,18.541335450950196,16.157249898588645,19.285270466001048,19.263991816505982,0.004393407406054255,0.005108181465616908
2021-01-28,25.13679928638668,20.714531593700393,17.719861084916676,25.050423219556652,20.655227891113704,17.68638540148889,21.190397321667916,21.130678837386416,0.14333464870630924,0.1646673531362819
2021-02-04,26.837720619020725,21.88450799632722,18.489603311729006,26.742857220659616,21.82270953008579,18.452781196043922,22.403943975692318,22.339449315596443,0.5690935390657959,0.6193835527011186
2021-02-11,27.128133322263963,22.231558084410025,18.729399394499733,27.06624951105569,22.18778847522913,18.696343675179612,22.69636360039124,22.650127220488145,0.8242409413752315,0.8607354708228266
2021-02-19,26.35044905300151,22.329957796742256,18.86351012098463,26.2757433967084,22.281736528451997,18.8233377258924,22.514638990242798,22.460272550350933,0.9231932609924137,0.9445900656428078
2021-02-26,26.49304162025135,22.32952579171605,18.891212837746917,26.392502129662592,22.261868724836944,18.833086884949022,22.571260083238105,22.495819246482853,0.9736323229568522,0.982813895797583
2021-03-05,28.05661567626313,23.93207630281182,20.372873264381198,27.92777701145223,23.820846388080113,20.28794794242143,24.120521747818714,24.012190447317924,0.998575046037034,0.9992858838536837
2021-03-12,28.894339371948416,25.00593529727288,21.542623740314415,28.731810693351253,24.913218833903525,21.461693429666976,25.14763280317857,25.035574318973918,0.9999727932231097,0.999986990203734
2021-03-19,30.75969528239761,25.813001367017645,22.000361012766117,30.562068739256453,25.73368031569681,21.92482991227743,26.191019220727124,26.07352632241023,0.9999978123788146,0.9999986961716733
2021-03-26,35.37391309054626,28.372996974392315,23.12372821820977,35.10423361181438,28.251556709404024,23.041481774818852,28.956879427716114,28.799090698679084,0.9999999787306345,0.9999999918912478
2021-04-05,37.7645153130682,30.012537275547004,24.585831318129728,37.43779448751802,29.840601493541836,24.495363495242685,30.78762796891498,30.591253158767515,0.9999999991946968,0.9999999997958846
2021-04-12,35.82643466378307,29.560030572530767,24.520348195078363,35.52746107921833,29.365366968424237,24.454003968500583,29.96893781046407,29.782277338714383,0.9999999963876907,0.9999999989067316
2021-04-19,32.34516747547673,26.83519767937136,22.727593966297615,32.12196933956956,26.685168722977018,22.673138195149036,27.3026530403819,27.160092085898537,0.9999996393981578,0.999999818751276
